"","org","category","type","expense name","description","expectedattendees","event off campus","collabhso","collabrso","speaker","eventtotal","eventsplanned","actual","attendactual","eventsactual","externalreceived","totalrollover","date","amount"
"313","Harris Innovation & Venture Ecosystem (HIVE)","speaker","equipment","The Founders' Playground- HIVE Launch Event","A high-energy, interactive gathering where students interested in entrepreneurship, innovation, and venture building connect through engaging exercises. We’ll use creative brainstorming activities to uncover their interests, identify needed resources, and shape future HIVE programming.",27.5,"FALSE","FALSE","FALSE","FALSE",250,3,NA,NA,NA,0,NA,NA,NA
"314","Harris Innovation & Venture Ecosystem (HIVE)","speaker","services","The Founders' Playground- HIVE Launch Event","A high-energy, interactive gathering where students interested in entrepreneurship, innovation, and venture building connect through engaging exercises. We’ll use creative brainstorming activities to uncover their interests, identify needed resources, and shape future HIVE programming.",27.5,"FALSE","FALSE","FALSE","FALSE",250,3,NA,NA,NA,0,NA,NA,50
"315","Harris Innovation & Venture Ecosystem (HIVE)","speaker","miscellaneous","The Founders' Playground- HIVE Launch Event","A high-energy, interactive gathering where students interested in entrepreneurship, innovation, and venture building connect through engaging exercises. We’ll use creative brainstorming activities to uncover their interests, identify needed resources, and shape future HIVE programming.",27.5,"FALSE","FALSE","FALSE","FALSE",250,3,NA,NA,NA,0,NA,NA,50
"316","Harris Innovation & Venture Ecosystem (HIVE)","speaker","refreshments","The Unicorn Factory: Funny Business Idea Challenge","A Shark Tank-style event where participants pitch their most hilariously creative business ideas. Whether it’s “Rent-A-Relative” for life advice, “Wine & Whine” coworking therapy, or “Emotional Support Chickens” for stressful meetings—we want to hear it. The challenge fosters out-of-the-box thinking and entrepreneurial confidence.",NA,"FALSE","FALSE","FALSE","FALSE",350,3,NA,NA,NA,0,NA,NA,100
"317","Harris Innovation & Venture Ecosystem (HIVE)","speaker","supplies","The Unicorn Factory: Funny Business Idea Challenge","A Shark Tank-style event where participants pitch their most hilariously creative business ideas. Whether it’s “Rent-A-Relative” for life advice, “Wine & Whine” coworking therapy, or “Emotional Support Chickens” for stressful meetings—we want to hear it. The challenge fosters out-of-the-box thinking and entrepreneurial confidence.",NA,"FALSE","FALSE","FALSE","FALSE",350,3,NA,NA,NA,0,NA,NA,20
"318","Harris Innovation & Venture Ecosystem (HIVE)","speaker","equipment","The Unicorn Factory: Funny Business Idea Challenge","A Shark Tank-style event where participants pitch their most hilariously creative business ideas. Whether it’s “Rent-A-Relative” for life advice, “Wine & Whine” coworking therapy, or “Emotional Support Chickens” for stressful meetings—we want to hear it. The challenge fosters out-of-the-box thinking and entrepreneurial confidence.",NA,"FALSE","FALSE","FALSE","FALSE",350,3,NA,NA,NA,0,NA,NA,NA
"319","Harris Innovation & Venture Ecosystem (HIVE)","speaker","services","The Unicorn Factory: Funny Business Idea Challenge","A Shark Tank-style event where participants pitch their most hilariously creative business ideas. Whether it’s “Rent-A-Relative” for life advice, “Wine & Whine” coworking therapy, or “Emotional Support Chickens” for stressful meetings—we want to hear it. The challenge fosters out-of-the-box thinking and entrepreneurial confidence.",NA,"FALSE","FALSE","FALSE","FALSE",350,3,NA,NA,NA,0,NA,NA,50
"320","Harris Innovation & Venture Ecosystem (HIVE)","speaker","miscellaneous","The Unicorn Factory: Funny Business Idea Challenge","A Shark Tank-style event where participants pitch their most hilariously creative business ideas. Whether it’s “Rent-A-Relative” for life advice, “Wine & Whine” coworking therapy, or “Emotional Support Chickens” for stressful meetings—we want to hear it. The challenge fosters out-of-the-box thinking and entrepreneurial confidence.",NA,"FALSE","FALSE","FALSE","FALSE",350,3,NA,NA,NA,0,NA,NA,180
"321","Harris Innovation & Venture Ecosystem (HIVE)","speaker","refreshments","Venture Bootcamp: First Principles & Risk Assessment","A workshop on how to think like a founder—using first principles thinking, assessing risk, and leveraging frameworks used in business and venture capital.",NA,"FALSE","FALSE","FALSE","FALSE",200,3,NA,NA,NA,0,NA,NA,75
"322","Harris Innovation & Venture Ecosystem (HIVE)","speaker","supplies","Venture Bootcamp: First Principles & Risk Assessment","A workshop on how to think like a founder—using first principles thinking, assessing risk, and leveraging frameworks used in business and venture capital.",NA,"FALSE","FALSE","FALSE","FALSE",200,3,NA,NA,NA,0,NA,NA,50
"323","Harris Innovation & Venture Ecosystem (HIVE)","speaker","equipment","Venture Bootcamp: First Principles & Risk Assessment","A workshop on how to think like a founder—using first principles thinking, assessing risk, and leveraging frameworks used in business and venture capital.",NA,"FALSE","FALSE","FALSE","FALSE",200,3,NA,NA,NA,0,NA,NA,NA
"324","Harris Innovation & Venture Ecosystem (HIVE)","speaker","services","Venture Bootcamp: First Principles & Risk Assessment","A workshop on how to think like a founder—using first principles thinking, assessing risk, and leveraging frameworks used in business and venture capital.",NA,"FALSE","FALSE","FALSE","FALSE",200,3,NA,NA,NA,0,NA,NA,NA
"325","Harris Innovation & Venture Ecosystem (HIVE)","speaker","miscellaneous","Venture Bootcamp: First Principles & Risk Assessment","A workshop on how to think like a founder—using first principles thinking, assessing risk, and leveraging frameworks used in business and venture capital.",NA,"FALSE","FALSE","FALSE","FALSE",200,3,NA,NA,NA,0,NA,NA,75
"326","Health Nexus Initiative(HNI)","social","refreshments","Health Nexus Initiative (HNI) Kick-Off Mixer","The Health Nexus Initiative (HNI) Kick-Off Mixer is designed to introduce the newly recognized Health Nexus Initiative to the Harris community. The event will create awareness about HNI's mission to explore and advance global health policy, emphasizing interdisciplinary collaboration across climate change, technology, education, livelihoods, and more.

Students will have the opportunity to meet our Executive Board, understand HNI’s vision and programming plans for the year, and learn about ways to get involved. The event will foster meaningful dialogue, spark innovative ideas, and facilitate networking among Harris students interested in health policy and interdisciplinary approaches.

We invite all participants to come prepared with their ideas, curiosity, and questions. Light snacks and beverages will be served to encourage relaxed and engaging conversations.

Objectives of the Event:

Introduce the Harris community to the HNI mission and leadership.

Encourage student participation and involvement in upcoming HNI activities.

Foster networking and collaboration among students passionate about health policy and related fields.",35,"FALSE","FALSE","FALSE","FALSE",440,2,NA,NA,NA,0,NA,NA,400
"327","Health Nexus Initiative(HNI)","social","supplies","Health Nexus Initiative (HNI) Kick-Off Mixer","The Health Nexus Initiative (HNI) Kick-Off Mixer is designed to introduce the newly recognized Health Nexus Initiative to the Harris community. The event will create awareness about HNI's mission to explore and advance global health policy, emphasizing interdisciplinary collaboration across climate change, technology, education, livelihoods, and more.

Students will have the opportunity to meet our Executive Board, understand HNI’s vision and programming plans for the year, and learn about ways to get involved. The event will foster meaningful dialogue, spark innovative ideas, and facilitate networking among Harris students interested in health policy and interdisciplinary approaches.

We invite all participants to come prepared with their ideas, curiosity, and questions. Light snacks and beverages will be served to encourage relaxed and engaging conversations.

Objectives of the Event:

Introduce the Harris community to the HNI mission and leadership.

Encourage student participation and involvement in upcoming HNI activities.

Foster networking and collaboration among students passionate about health policy and related fields.",35,"FALSE","FALSE","FALSE","FALSE",440,2,NA,NA,NA,0,NA,NA,30
"328","Health Nexus Initiative(HNI)","social","equipment","Health Nexus Initiative (HNI) Kick-Off Mixer","The Health Nexus Initiative (HNI) Kick-Off Mixer is designed to introduce the newly recognized Health Nexus Initiative to the Harris community. The event will create awareness about HNI's mission to explore and advance global health policy, emphasizing interdisciplinary collaboration across climate change, technology, education, livelihoods, and more.

Students will have the opportunity to meet our Executive Board, understand HNI’s vision and programming plans for the year, and learn about ways to get involved. The event will foster meaningful dialogue, spark innovative ideas, and facilitate networking among Harris students interested in health policy and interdisciplinary approaches.

We invite all participants to come prepared with their ideas, curiosity, and questions. Light snacks and beverages will be served to encourage relaxed and engaging conversations.

Objectives of the Event:

Introduce the Harris community to the HNI mission and leadership.

Encourage student participation and involvement in upcoming HNI activities.

Foster networking and collaboration among students passionate about health policy and related fields.",35,"FALSE","FALSE","FALSE","FALSE",440,2,NA,NA,NA,0,NA,NA,0
"329","Health Nexus Initiative(HNI)","social","services","Health Nexus Initiative (HNI) Kick-Off Mixer","The Health Nexus Initiative (HNI) Kick-Off Mixer is designed to introduce the newly recognized Health Nexus Initiative to the Harris community. The event will create awareness about HNI's mission to explore and advance global health policy, emphasizing interdisciplinary collaboration across climate change, technology, education, livelihoods, and more.

Students will have the opportunity to meet our Executive Board, understand HNI’s vision and programming plans for the year, and learn about ways to get involved. The event will foster meaningful dialogue, spark innovative ideas, and facilitate networking among Harris students interested in health policy and interdisciplinary approaches.

We invite all participants to come prepared with their ideas, curiosity, and questions. Light snacks and beverages will be served to encourage relaxed and engaging conversations.

Objectives of the Event:

Introduce the Harris community to the HNI mission and leadership.

Encourage student participation and involvement in upcoming HNI activities.

Foster networking and collaboration among students passionate about health policy and related fields.",35,"FALSE","FALSE","FALSE","FALSE",440,2,NA,NA,NA,0,NA,NA,0
"330","Health Nexus Initiative(HNI)","social","miscellaneous","Health Nexus Initiative (HNI) Kick-Off Mixer","The Health Nexus Initiative (HNI) Kick-Off Mixer is designed to introduce the newly recognized Health Nexus Initiative to the Harris community. The event will create awareness about HNI's mission to explore and advance global health policy, emphasizing interdisciplinary collaboration across climate change, technology, education, livelihoods, and more.

Students will have the opportunity to meet our Executive Board, understand HNI’s vision and programming plans for the year, and learn about ways to get involved. The event will foster meaningful dialogue, spark innovative ideas, and facilitate networking among Harris students interested in health policy and interdisciplinary approaches.

We invite all participants to come prepared with their ideas, curiosity, and questions. Light snacks and beverages will be served to encourage relaxed and engaging conversations.

Objectives of the Event:

Introduce the Harris community to the HNI mission and leadership.

Encourage student participation and involvement in upcoming HNI activities.

Foster networking and collaboration among students passionate about health policy and related fields.",35,"FALSE","FALSE","FALSE","FALSE",440,2,NA,NA,NA,0,NA,NA,10
"331","Health Nexus Initiative(HNI)","speaker","refreshments"," "," ",NA," "," "," "," ",440,2,NA,NA,NA,0,NA,NA,400
"332","Health Nexus Initiative(HNI)","speaker","supplies"," "," ",NA," "," "," "," ",440,2,NA,NA,NA,0,NA,NA,30
"333","Health Nexus Initiative(HNI)","speaker","equipment"," "," ",NA," "," "," "," ",440,2,NA,NA,NA,0,NA,NA,0
"334","Health Nexus Initiative(HNI)","speaker","services"," "," ",NA," "," "," "," ",440,2,NA,NA,NA,0,NA,NA,0
"335","Health Nexus Initiative(HNI)","speaker","miscellaneous"," "," ",NA," "," "," "," ",440,2,NA,NA,NA,0,NA,NA,10
"336","Health Nexus Initiative(HNI)","speaker","refreshments","Navigating Uncertainty: Global Health Careers in a Shifting Policy Landscape","The global health job market has been profoundly affected by recent geopolitical shifts, funding realignments, and evolving governance structures. From the U.S. withdrawal from the World Health Organization (WHO) to the shutdown of critical USAID programs under the Trump Administration, these changes have disrupted traditional career pathways and reshaped opportunities in global health policy, research, and implementation.

This panel discussion aims to help students navigate the uncertainties of global health careers in this evolving landscape. Featuring experts from global health organizations, policymakers, and academic leaders, the conversation will explore how funding streams, international collaborations, and policy priorities have shifted and what this means for students looking to build impactful careers in global health.

The in-person panel will feature two experts, one from the University of Chicago and another from a global health research/philanthropic organisation (possibly from RTI International or MacArthur Foundation). Panelists will discuss the challenges posed by shifting U.S. global health policies, the future of multilateral collaborations, and the emergence of new funding and employment opportunities in non-traditional spaces, including philanthropic organizations, think tanks, and regional health initiatives. The discussion will also provide practical insights on how students can position themselves for success in this uncertain environment—whether by building cross-sectoral expertise, exploring alternative funding mechanisms, or leveraging policy and research skills in new ways.

",35,"FALSE","FALSE","FALSE","TRUE",610,2,NA,NA,NA,0,NA,NA,560
"337","Health Nexus Initiative(HNI)","speaker","supplies","Navigating Uncertainty: Global Health Careers in a Shifting Policy Landscape","The global health job market has been profoundly affected by recent geopolitical shifts, funding realignments, and evolving governance structures. From the U.S. withdrawal from the World Health Organization (WHO) to the shutdown of critical USAID programs under the Trump Administration, these changes have disrupted traditional career pathways and reshaped opportunities in global health policy, research, and implementation.

This panel discussion aims to help students navigate the uncertainties of global health careers in this evolving landscape. Featuring experts from global health organizations, policymakers, and academic leaders, the conversation will explore how funding streams, international collaborations, and policy priorities have shifted and what this means for students looking to build impactful careers in global health.

The in-person panel will feature two experts, one from the University of Chicago and another from a global health research/philanthropic organisation (possibly from RTI International or MacArthur Foundation). Panelists will discuss the challenges posed by shifting U.S. global health policies, the future of multilateral collaborations, and the emergence of new funding and employment opportunities in non-traditional spaces, including philanthropic organizations, think tanks, and regional health initiatives. The discussion will also provide practical insights on how students can position themselves for success in this uncertain environment—whether by building cross-sectoral expertise, exploring alternative funding mechanisms, or leveraging policy and research skills in new ways.

",35,"FALSE","FALSE","FALSE","TRUE",610,2,NA,NA,NA,0,NA,NA,50
"338","Health Nexus Initiative(HNI)","speaker","equipment","Navigating Uncertainty: Global Health Careers in a Shifting Policy Landscape","The global health job market has been profoundly affected by recent geopolitical shifts, funding realignments, and evolving governance structures. From the U.S. withdrawal from the World Health Organization (WHO) to the shutdown of critical USAID programs under the Trump Administration, these changes have disrupted traditional career pathways and reshaped opportunities in global health policy, research, and implementation.

This panel discussion aims to help students navigate the uncertainties of global health careers in this evolving landscape. Featuring experts from global health organizations, policymakers, and academic leaders, the conversation will explore how funding streams, international collaborations, and policy priorities have shifted and what this means for students looking to build impactful careers in global health.

The in-person panel will feature two experts, one from the University of Chicago and another from a global health research/philanthropic organisation (possibly from RTI International or MacArthur Foundation). Panelists will discuss the challenges posed by shifting U.S. global health policies, the future of multilateral collaborations, and the emergence of new funding and employment opportunities in non-traditional spaces, including philanthropic organizations, think tanks, and regional health initiatives. The discussion will also provide practical insights on how students can position themselves for success in this uncertain environment—whether by building cross-sectoral expertise, exploring alternative funding mechanisms, or leveraging policy and research skills in new ways.

",35,"FALSE","FALSE","FALSE","TRUE",610,2,NA,NA,NA,0,NA,NA,0
"339","Health Nexus Initiative(HNI)","speaker","services","Navigating Uncertainty: Global Health Careers in a Shifting Policy Landscape","The global health job market has been profoundly affected by recent geopolitical shifts, funding realignments, and evolving governance structures. From the U.S. withdrawal from the World Health Organization (WHO) to the shutdown of critical USAID programs under the Trump Administration, these changes have disrupted traditional career pathways and reshaped opportunities in global health policy, research, and implementation.

This panel discussion aims to help students navigate the uncertainties of global health careers in this evolving landscape. Featuring experts from global health organizations, policymakers, and academic leaders, the conversation will explore how funding streams, international collaborations, and policy priorities have shifted and what this means for students looking to build impactful careers in global health.

The in-person panel will feature two experts, one from the University of Chicago and another from a global health research/philanthropic organisation (possibly from RTI International or MacArthur Foundation). Panelists will discuss the challenges posed by shifting U.S. global health policies, the future of multilateral collaborations, and the emergence of new funding and employment opportunities in non-traditional spaces, including philanthropic organizations, think tanks, and regional health initiatives. The discussion will also provide practical insights on how students can position themselves for success in this uncertain environment—whether by building cross-sectoral expertise, exploring alternative funding mechanisms, or leveraging policy and research skills in new ways.

",35,"FALSE","FALSE","FALSE","TRUE",610,2,NA,NA,NA,0,NA,NA,0
"340","Health Nexus Initiative(HNI)","speaker","miscellaneous","Navigating Uncertainty: Global Health Careers in a Shifting Policy Landscape","The global health job market has been profoundly affected by recent geopolitical shifts, funding realignments, and evolving governance structures. From the U.S. withdrawal from the World Health Organization (WHO) to the shutdown of critical USAID programs under the Trump Administration, these changes have disrupted traditional career pathways and reshaped opportunities in global health policy, research, and implementation.

This panel discussion aims to help students navigate the uncertainties of global health careers in this evolving landscape. Featuring experts from global health organizations, policymakers, and academic leaders, the conversation will explore how funding streams, international collaborations, and policy priorities have shifted and what this means for students looking to build impactful careers in global health.

The in-person panel will feature two experts, one from the University of Chicago and another from a global health research/philanthropic organisation (possibly from RTI International or MacArthur Foundation). Panelists will discuss the challenges posed by shifting U.S. global health policies, the future of multilateral collaborations, and the emergence of new funding and employment opportunities in non-traditional spaces, including philanthropic organizations, think tanks, and regional health initiatives. The discussion will also provide practical insights on how students can position themselves for success in this uncertain environment—whether by building cross-sectoral expertise, exploring alternative funding mechanisms, or leveraging policy and research skills in new ways.

",35,"FALSE","FALSE","FALSE","TRUE",610,2,NA,NA,NA,0,NA,NA,NA
"341","International Development Policy Association","speaker","refreshments","End of Year/Introduction to New Board","This social aims to foster networking opportunities among the Harris ID Community, including faculty and students. We will also celebrate our achievements and partnerships, introduce the new board, and share our exciting plans for 2025-2026.",50,"FALSE","FALSE","FALSE","FALSE",425,6,NA,185,4,0,NA,NA,400
"342","International Development Policy Association","speaker","supplies","End of Year/Introduction to New Board","This social aims to foster networking opportunities among the Harris ID Community, including faculty and students. We will also celebrate our achievements and partnerships, introduce the new board, and share our exciting plans for 2025-2026.",50,"FALSE","FALSE","FALSE","FALSE",425,6,NA,185,4,0,NA,NA,NA
"343","International Development Policy Association","speaker","equipment","End of Year/Introduction to New Board","This social aims to foster networking opportunities among the Harris ID Community, including faculty and students. We will also celebrate our achievements and partnerships, introduce the new board, and share our exciting plans for 2025-2026.",50,"FALSE","FALSE","FALSE","FALSE",425,6,NA,185,4,0,NA,NA,25
"344","International Development Policy Association","speaker","services","End of Year/Introduction to New Board","This social aims to foster networking opportunities among the Harris ID Community, including faculty and students. We will also celebrate our achievements and partnerships, introduce the new board, and share our exciting plans for 2025-2026.",50,"FALSE","FALSE","FALSE","FALSE",425,6,NA,185,4,0,NA,NA,NA
"345","International Development Policy Association","speaker","miscellaneous","End of Year/Introduction to New Board","This social aims to foster networking opportunities among the Harris ID Community, including faculty and students. We will also celebrate our achievements and partnerships, introduce the new board, and share our exciting plans for 2025-2026.",50,"FALSE","FALSE","FALSE","FALSE",425,6,NA,185,4,0,NA,NA,NA
"346","International Development Policy Association","speaker","refreshments","Faculty Lunch 1: Prof Eduardo Montero","In the 2023-24 academic year, IDPA hosted five faculty lunches with Harris professors in the international development space. These events were extremely well attended and students mentioned they were highly useful opportunities in gaining a deeper understanding of applied academic research, networking with professors, and gaining exposure to emergent issues in the field. While these were targeted to intimate audiences of 25 last year in order to maximize networking potential, spots were filled rapidly within a few days of marketing. Given the consistent positive feedback and desire for continued access to smaller audiences with professors, we wish to make this a bi-quarterly event with an increased capacity (30 students) in order to strengthen student-faculty relationships. As evidenced by the attendance in the Fall 2024 and Winter 2025 quarter, these events are highly anticipated.",30,"FALSE","FALSE","FALSE","FALSE",500,6,NA,185,4,0,NA,NA,500
"347","International Development Policy Association","speaker","supplies","Faculty Lunch 1: Prof Eduardo Montero","In the 2023-24 academic year, IDPA hosted five faculty lunches with Harris professors in the international development space. These events were extremely well attended and students mentioned they were highly useful opportunities in gaining a deeper understanding of applied academic research, networking with professors, and gaining exposure to emergent issues in the field. While these were targeted to intimate audiences of 25 last year in order to maximize networking potential, spots were filled rapidly within a few days of marketing. Given the consistent positive feedback and desire for continued access to smaller audiences with professors, we wish to make this a bi-quarterly event with an increased capacity (30 students) in order to strengthen student-faculty relationships. As evidenced by the attendance in the Fall 2024 and Winter 2025 quarter, these events are highly anticipated.",30,"FALSE","FALSE","FALSE","FALSE",500,6,NA,185,4,0,NA,NA,NA
"348","International Development Policy Association","speaker","equipment","Faculty Lunch 1: Prof Eduardo Montero","In the 2023-24 academic year, IDPA hosted five faculty lunches with Harris professors in the international development space. These events were extremely well attended and students mentioned they were highly useful opportunities in gaining a deeper understanding of applied academic research, networking with professors, and gaining exposure to emergent issues in the field. While these were targeted to intimate audiences of 25 last year in order to maximize networking potential, spots were filled rapidly within a few days of marketing. Given the consistent positive feedback and desire for continued access to smaller audiences with professors, we wish to make this a bi-quarterly event with an increased capacity (30 students) in order to strengthen student-faculty relationships. As evidenced by the attendance in the Fall 2024 and Winter 2025 quarter, these events are highly anticipated.",30,"FALSE","FALSE","FALSE","FALSE",500,6,NA,185,4,0,NA,NA,NA
"349","International Development Policy Association","speaker","services","Faculty Lunch 1: Prof Eduardo Montero","In the 2023-24 academic year, IDPA hosted five faculty lunches with Harris professors in the international development space. These events were extremely well attended and students mentioned they were highly useful opportunities in gaining a deeper understanding of applied academic research, networking with professors, and gaining exposure to emergent issues in the field. While these were targeted to intimate audiences of 25 last year in order to maximize networking potential, spots were filled rapidly within a few days of marketing. Given the consistent positive feedback and desire for continued access to smaller audiences with professors, we wish to make this a bi-quarterly event with an increased capacity (30 students) in order to strengthen student-faculty relationships. As evidenced by the attendance in the Fall 2024 and Winter 2025 quarter, these events are highly anticipated.",30,"FALSE","FALSE","FALSE","FALSE",500,6,NA,185,4,0,NA,NA,NA
"350","International Development Policy Association","speaker","miscellaneous","Faculty Lunch 1: Prof Eduardo Montero","In the 2023-24 academic year, IDPA hosted five faculty lunches with Harris professors in the international development space. These events were extremely well attended and students mentioned they were highly useful opportunities in gaining a deeper understanding of applied academic research, networking with professors, and gaining exposure to emergent issues in the field. While these were targeted to intimate audiences of 25 last year in order to maximize networking potential, spots were filled rapidly within a few days of marketing. Given the consistent positive feedback and desire for continued access to smaller audiences with professors, we wish to make this a bi-quarterly event with an increased capacity (30 students) in order to strengthen student-faculty relationships. As evidenced by the attendance in the Fall 2024 and Winter 2025 quarter, these events are highly anticipated.",30,"FALSE","FALSE","FALSE","FALSE",500,6,NA,185,4,0,NA,NA,NA
"351","International Development Policy Association","speaker","refreshments","Faculty Lunch 2: Prof Maria Angelica Bautista","In the 2023-24 academic year, IDPA hosted five faculty lunches with Harris professors in the international development space. These events were extremely well attended and students mentioned they were highly useful opportunities in gaining a deeper understanding of applied academic research, networking with professors, and gaining exposure to emergent issues in the field. While these were targeted to intimate audiences of 25 last year in order to maximize networking potential, spots were filled rapidly within a few days of marketing. Given the consistent positive feedback and desire for continued access to smaller audiences with professors, we wish to make this a bi-quarterly event with an increased capacity (30 students) in order to strengthen student-faculty relationships. As evidenced by the attendance in the Fall 2024 and Winter 2025 quarter, these events are highly anticipated.",30,"FALSE","FALSE","FALSE","FALSE",500,6,NA,185,4,0,NA,NA,500
"352","International Development Policy Association","speaker","supplies","Faculty Lunch 2: Prof Maria Angelica Bautista","In the 2023-24 academic year, IDPA hosted five faculty lunches with Harris professors in the international development space. These events were extremely well attended and students mentioned they were highly useful opportunities in gaining a deeper understanding of applied academic research, networking with professors, and gaining exposure to emergent issues in the field. While these were targeted to intimate audiences of 25 last year in order to maximize networking potential, spots were filled rapidly within a few days of marketing. Given the consistent positive feedback and desire for continued access to smaller audiences with professors, we wish to make this a bi-quarterly event with an increased capacity (30 students) in order to strengthen student-faculty relationships. As evidenced by the attendance in the Fall 2024 and Winter 2025 quarter, these events are highly anticipated.",30,"FALSE","FALSE","FALSE","FALSE",500,6,NA,185,4,0,NA,NA,NA
"353","International Development Policy Association","speaker","equipment","Faculty Lunch 2: Prof Maria Angelica Bautista","In the 2023-24 academic year, IDPA hosted five faculty lunches with Harris professors in the international development space. These events were extremely well attended and students mentioned they were highly useful opportunities in gaining a deeper understanding of applied academic research, networking with professors, and gaining exposure to emergent issues in the field. While these were targeted to intimate audiences of 25 last year in order to maximize networking potential, spots were filled rapidly within a few days of marketing. Given the consistent positive feedback and desire for continued access to smaller audiences with professors, we wish to make this a bi-quarterly event with an increased capacity (30 students) in order to strengthen student-faculty relationships. As evidenced by the attendance in the Fall 2024 and Winter 2025 quarter, these events are highly anticipated.",30,"FALSE","FALSE","FALSE","FALSE",500,6,NA,185,4,0,NA,NA,NA
"354","International Development Policy Association","speaker","services","Faculty Lunch 2: Prof Maria Angelica Bautista","In the 2023-24 academic year, IDPA hosted five faculty lunches with Harris professors in the international development space. These events were extremely well attended and students mentioned they were highly useful opportunities in gaining a deeper understanding of applied academic research, networking with professors, and gaining exposure to emergent issues in the field. While these were targeted to intimate audiences of 25 last year in order to maximize networking potential, spots were filled rapidly within a few days of marketing. Given the consistent positive feedback and desire for continued access to smaller audiences with professors, we wish to make this a bi-quarterly event with an increased capacity (30 students) in order to strengthen student-faculty relationships. As evidenced by the attendance in the Fall 2024 and Winter 2025 quarter, these events are highly anticipated.",30,"FALSE","FALSE","FALSE","FALSE",500,6,NA,185,4,0,NA,NA,NA
"355","International Development Policy Association","speaker","miscellaneous","Faculty Lunch 2: Prof Maria Angelica Bautista","In the 2023-24 academic year, IDPA hosted five faculty lunches with Harris professors in the international development space. These events were extremely well attended and students mentioned they were highly useful opportunities in gaining a deeper understanding of applied academic research, networking with professors, and gaining exposure to emergent issues in the field. While these were targeted to intimate audiences of 25 last year in order to maximize networking potential, spots were filled rapidly within a few days of marketing. Given the consistent positive feedback and desire for continued access to smaller audiences with professors, we wish to make this a bi-quarterly event with an increased capacity (30 students) in order to strengthen student-faculty relationships. As evidenced by the attendance in the Fall 2024 and Winter 2025 quarter, these events are highly anticipated.",30,"FALSE","FALSE","FALSE","FALSE",500,6,NA,185,4,0,NA,NA,NA
"356","International Development Policy Association","speaker","refreshments","LAM Forum: Climate Resilience and Energy Transition in Latin America and the Caribbean","Latin American Matters (LAM) is organizing the 13th edition of the LAM Policy Forum. This year's theme is ""Climate Resilience and Energy Transition in Latin America and the Caribbean."" The event is scheduled for Friday, April 11th, at The Keller Center from 9 am to 5 pm. Joint partnership with LAM, IDPA, HEEA, and ALAS",100,"FALSE","FALSE","FALSE","FALSE",250,6,NA,185,4,0,NA,NA,NA
"357","International Development Policy Association","speaker","supplies","LAM Forum: Climate Resilience and Energy Transition in Latin America and the Caribbean","Latin American Matters (LAM) is organizing the 13th edition of the LAM Policy Forum. This year's theme is ""Climate Resilience and Energy Transition in Latin America and the Caribbean."" The event is scheduled for Friday, April 11th, at The Keller Center from 9 am to 5 pm. Joint partnership with LAM, IDPA, HEEA, and ALAS",100,"FALSE","FALSE","FALSE","FALSE",250,6,NA,185,4,0,NA,NA,NA
"358","International Development Policy Association","speaker","equipment","LAM Forum: Climate Resilience and Energy Transition in Latin America and the Caribbean","Latin American Matters (LAM) is organizing the 13th edition of the LAM Policy Forum. This year's theme is ""Climate Resilience and Energy Transition in Latin America and the Caribbean."" The event is scheduled for Friday, April 11th, at The Keller Center from 9 am to 5 pm. Joint partnership with LAM, IDPA, HEEA, and ALAS",100,"FALSE","FALSE","FALSE","FALSE",250,6,NA,185,4,0,NA,NA,NA
"359","International Development Policy Association","speaker","services","LAM Forum: Climate Resilience and Energy Transition in Latin America and the Caribbean","Latin American Matters (LAM) is organizing the 13th edition of the LAM Policy Forum. This year's theme is ""Climate Resilience and Energy Transition in Latin America and the Caribbean."" The event is scheduled for Friday, April 11th, at The Keller Center from 9 am to 5 pm. Joint partnership with LAM, IDPA, HEEA, and ALAS",100,"FALSE","FALSE","FALSE","FALSE",250,6,NA,185,4,0,NA,NA,NA
"360","International Development Policy Association","speaker","miscellaneous","LAM Forum: Climate Resilience and Energy Transition in Latin America and the Caribbean","Latin American Matters (LAM) is organizing the 13th edition of the LAM Policy Forum. This year's theme is ""Climate Resilience and Energy Transition in Latin America and the Caribbean."" The event is scheduled for Friday, April 11th, at The Keller Center from 9 am to 5 pm. Joint partnership with LAM, IDPA, HEEA, and ALAS",100,"FALSE","FALSE","FALSE","FALSE",250,6,NA,185,4,0,NA,NA,250
"361","International Development Policy Association","social","refreshments","Graduate Student Mixer: Women in Textiles","This immersive experience will highlight the weaving styles of the Gullah-Geechee, Chimayo, Andean, and Burmese communities. We’ll also explore women’s role in textile production and highlight Chicago’s small, minority-owned businesses. Visit us from 4-6 pm on April 9th for weaving workshops, cultural cuisine, and lots of fun! This event is co-sponsored by the Smart Museum of Art (@smartmuseum), International Development Policy Association (@harrisidpa), and Rural America Caucus (@rac_harris).",65,"FALSE","FALSE","FALSE","FALSE",375,6,NA,185,4,0,NA,NA,300
"362","International Development Policy Association","social","supplies","Graduate Student Mixer: Women in Textiles","This immersive experience will highlight the weaving styles of the Gullah-Geechee, Chimayo, Andean, and Burmese communities. We’ll also explore women’s role in textile production and highlight Chicago’s small, minority-owned businesses. Visit us from 4-6 pm on April 9th for weaving workshops, cultural cuisine, and lots of fun! This event is co-sponsored by the Smart Museum of Art (@smartmuseum), International Development Policy Association (@harrisidpa), and Rural America Caucus (@rac_harris).",65,"FALSE","FALSE","FALSE","FALSE",375,6,NA,185,4,0,NA,NA,25
